Observe,Describe,Awarenness,Nonjudge,Nonreact,EI,Depression,MASS,Openness,Extraversion,Neurotic
24,24,22,13,17,123,105,61,15,21,23
30,16,8,4,12,125,89,46,20,16,31
32,29,24,14,20,116,108,63,18,10,18
11,20,26,14,8,132,54,73,15,26,21
17,8,11,7,12,122,51,63,24,26,24
21,18,13,14,17,117,136,43,29,13,24
30,26,19,15,20,128,111,75,14,16,26
25,26,17,8,25,122,82,45,16,15,23
24,24,20,12,21,128,95,71,18,15,18
21,24,22,13,18,125,92,62,15,16,21
25,25,23,13,20,122,96,69,24,17,23
25,26,15,15,19,114,83,60,26,12,24
22,18,17,12,24,116,95,54,16,14,21
32,30,20,12,15,140,101,67,30,10,19
24,9,12,8,19,111,105,36,21,14,36
30,21,20,7,24,119,108,70,14,16,20
23,22,20,10,21,126,82,56,22,11,21
27,31,24,8,25,122,79,78,12,13,26
19,20,21,7,19,121,83,49,27,18,29
27,13,17,8,16,118,98,45,16,19,26
21,19,20,11,20,98,119,56,28,26,24
35,35,29,18,27,130,68,88,15,13,16
30,33,17,10,20,127,63,23,12,11,26
31,33,28,6,24,137,90,75,28,28,23
12,18,24,16,9,84,82,60,30,24,24
20,22,15,8,21,128,124,42,16,12,24
34,20,8,5,25,108,150,27,46,22,32
8,17,24,19,8,102,142,45,28,21,30
24,22,12,15,17,122,92,54,25,15,25
27,29,18,13,20,143,90,65,26,13,21
28,29,11,8,23,114,118,49,24,19,31
23,26,23,13,18,124,79,56,19,14,21
31,24,19,15,18,123,90,55,22,13,19
30,22,25,7,24,128,72,82,25,17,19
27,25,12,8,27,117,100,50,24,17,24
13,13,14,6,20,123,101,67,20,15,24
19,20,20,12,18,117,103,73,19,14,22
23,29,25,13,13,128,98,75,21,13,21
28,22,12,8,24,135,120,49,22,18,21
25,17,17,12,16,95,148,50,22,19,30
27,22,12,8,24,110,106,56,17,21,30
25,22,22,12,20,130,93,63,18,14,22
29,26,20,10,21,118,94,73,19,13,15
27,22,11,6,20,123,86,48,22,14,23
28,22,12,8,24,108,145,46,25,18,26
33,28,24,20,24,151,66,69,42,36,11
26,22,22,8,24,142,88,54,22,17,19
28,20,15,15,20,124,103,63,20,14,28
27,34,19,11,22,136,91,60,16,15,20
26,12,19,9,23,131,52,80,19,18,19
26,30,21,5,20,127,83,70,14,13,18
28,27,26,13,20,114,125,64,19,16,21
27,23,15,9,21,134,96,34,19,20,25
21,21,13,11,22,119,92,54,22,15,20
32,17,19,7,19,124,112,44,15,16,26
26,21,27,4,23,157,84,79,35,26,15
24,27,20,13,15,129,125,50,12,16,27
20,23,15,8,18,110,117,49,17,12,20
22,18,14,6,14,115,104,44,16,21,25
34,32,24,10,28,154,73,62,41,32,10
19,18,18,11,15,114,97,81,17,17,18
24,18,18,8,20,116,105,60,20,18,27
23,15,19,9,18,108,98,54,22,17,27
21,23,26,12,21,128,82,76,15,14,18
24,20,14,4,20,144,133,53,20,15,35
35,35,30,9,26,166,69,85,46,33,16
27,20,21,12,20,135,80,72,14,14,19
33,20,24,8,30,149,54,76,27,12,16
24,21,16,9,17,116,81,53,20,16,27
28,29,21,12,25,129,104,64,22,15,23
29,27,27,13,27,124,135,53,28,15,23
24,25,14,10,22,119,85,62,24,11,17
26,24,15,7,18,124,125,46,32,17,26
32,32,27,14,27,141,65,84,29,28,13
27,21,23,9,22,136,95,64,14,14,19
26,15,16,11,22,130,92,46,26,17,23
28,26,19,9,22,128,103,69,25,14,21
24,18,18,11,16,111,109,35,23,26,23
